sample	celltype	signature
HN1-d365	lung_adenoca	1.34
HN1-d365	glomerular	4.56
HN1-d365	hematopoietic	5.14
HN1-d365	hepatocyte	6.86
HN1-d365	mammary_epithel	4.75
HN1-d365	melanoma	4.07
HN1-d365	prostate	6.04
HN1-d365	skeletal_muscle	4.23
HN1-d090	lung_adenoca	-4.16
HN1-d090	glomerular	-8.68
HN1-d090	hematopoietic	2.07
HN1-d090	hepatocyte	-6.08
HN1-d090	mammary_epithel	-7.33
HN1-d090	melanoma	-4.63
HN1-d090	prostate	-3.17
HN1-d090	skeletal_muscle	-3.1
HN1-d180	lung_adenoca	-1.85
HN1-d180	glomerular	-2.53
HN1-d180	hematopoietic	2.79
HN1-d180	hepatocyte	-3.01
HN1-d180	mammary_epithel	-3.53
HN1-d180	melanoma	-1.8
HN1-d180	prostate	-0.23
HN1-d180	skeletal_muscle	-2.87
HN1-BL	lung_adenoca	-0.47
HN1-BL	glomerular	-2.8
HN1-BL	hematopoietic	1.72
HN1-BL	hepatocyte	-2.81
HN1-BL	mammary_epithel	-0.92
HN1-BL	melanoma	-2.23
HN1-BL	prostate	0.5
HN1-BL	skeletal_muscle	-1.21
HN1-d049	lung_adenoca	-1.17
HN1-d049	glomerular	-1.7
HN1-d049	hematopoietic	2.06
HN1-d049	hepatocyte	-3.19
HN1-d049	mammary_epithel	-3.08
HN1-d049	melanoma	-2.19
HN1-d049	prostate	-1.54
HN1-d049	skeletal_muscle	-2.36
HN1-d008	lung_adenoca	-0.37
HN1-d008	glomerular	-1.12
HN1-d008	hematopoietic	2.38
HN1-d008	hepatocyte	-3.3
HN1-d008	mammary_epithel	-0.9
HN1-d008	melanoma	-2.57
HN1-d008	prostate	1.4
HN1-d008	skeletal_muscle	-1.49
HN2-d365	lung_adenoca	0.25
HN2-d365	glomerular	1.96
HN2-d365	hematopoietic	0.23
HN2-d365	hepatocyte	1.59
HN2-d365	mammary_epithel	6.42
HN2-d365	melanoma	2.36
HN2-d365	prostate	3.39
HN2-d365	skeletal_muscle	0.83
HN2-d090	lung_adenoca	-2.23
HN2-d090	glomerular	-3.22
HN2-d090	hematopoietic	-0.72
HN2-d090	hepatocyte	-3.07
HN2-d090	mammary_epithel	-3.75
HN2-d090	melanoma	-1.85
HN2-d090	prostate	-1.84
HN2-d090	skeletal_muscle	-2.29
HN2-d049	lung_adenoca	3.95
HN2-d049	glomerular	-0.84
HN2-d049	hematopoietic	-1.78
HN2-d049	hepatocyte	2.69
HN2-d049	mammary_epithel	-0.89
HN2-d049	melanoma	-0.86
HN2-d049	prostate	0.88
HN2-d049	skeletal_muscle	-1.58
HN2-d008	lung_adenoca	-1.58
HN2-d008	glomerular	-3.44
HN2-d008	hematopoietic	0.11
HN2-d008	hepatocyte	-1.85
HN2-d008	mammary_epithel	-4.06
HN2-d008	melanoma	-3.09
HN2-d008	prostate	-1.23
HN2-d008	skeletal_muscle	-2.56
HN2-BL	lung_adenoca	-1.05
HN2-BL	glomerular	-1.73
HN2-BL	hematopoietic	1.04
HN2-BL	hepatocyte	-2.51
HN2-BL	mammary_epithel	-2.35
HN2-BL	melanoma	-2.17
HN2-BL	prostate	-1.39
HN2-BL	skeletal_muscle	-1.04
HN3-d365	lung_adenoca	2.3
HN3-d365	glomerular	0.97
HN3-d365	hematopoietic	2.87
HN3-d365	hepatocyte	4.52
HN3-d365	mammary_epithel	0.09
HN3-d365	melanoma	0.97
HN3-d365	prostate	3.35
HN3-d365	skeletal_muscle	0.59
HN3-d090	lung_adenoca	-3.59
HN3-d090	glomerular	-8.79
HN3-d090	hematopoietic	1.04
HN3-d090	hepatocyte	-4.84
HN3-d090	mammary_epithel	-5.39
HN3-d090	melanoma	-4.2
HN3-d090	prostate	-2.08
HN3-d090	skeletal_muscle	-2.72
HN3-d180	lung_adenoca	3.43
HN3-d180	glomerular	5.23
HN3-d180	hematopoietic	1.63
HN3-d180	hepatocyte	6.63
HN3-d180	mammary_epithel	4.37
HN3-d180	melanoma	5.13
HN3-d180	prostate	7.4
HN3-d180	skeletal_muscle	1.67
