length	HN1-d365	HN1-d090	HN1-d180	HN1-BL	HN1-d049	HN1-d008	HN2-d365	HN2-d090	HN2-d049	HN2-d008	HN2-BL	HN3-d365	HN3-d090	HN3-d180	HN3-d049	HN3-d008	HN3-BL	HN4-d365	HN4-d090	HN4-d180	HN4-BL	HN4-d043	HN4-d008	HN5-d365	HN5-d090	HN5-d180	HN5-BL	HN5-d043	HN5-d008	HN6-d365	HN6-d090	HN6-d180	HN6-BL	HN6-d043	HN6-d008	HN7-d090	HN7-d180	HN7-BL	HN7-d043	HN7-d008	HV1	HV3	HV4	HV5	HV6	HV7	HV8	OMD1-d090	OMD1-d180	OMD1-d002	OMD1-d005	OMD4-d365	OMD4-d090	OMD4-d180	OMD4-BL	OMD4-d002	OMD4-d005	OMD5-d090	OMD5-d180	OMD5-BL	OMD5-d002	OMD5-d005	OMD6-d365	OMD6-d090	OMD6-d180	OMD6-BL	OMD6-d002	OMD6-d005	OMD7-d090	OMD7-d180	OMD7-BL	OMD7-d365	OMD7-d002	OMD8-d090	OMD8-d365	OMD8-d180	OMD8-BL	OMD8-d010	OMD8-d002	OMD9-d365	OMD9-d090	OMD9-d180	OMD9-BL	OMD9-d002	OMD9-d005	OMD1-BL	PV1	PV3	PV4	PV5	PV6	PV7	PV9
100	14393	27979	31097	19656	23644	18028	7044	20952	11195	8855	8172	22270	23750	15019	9441	11313	14247	8623	29150	16244	6571	14850	18311	26258	23867	33139	15598	61079	38408	6392	14036	23959	13842	7628	14645	26107	5538	10336	30044	26117	13334	11753	11170	16380	13013	16098	18228	13757	19471	11863	21496	6721	19459	31327	13919	10840	10641	17847	16730	18859	6209	4931	18933	18826	10158	16744	15582	29553	12052	9962	34452	7108	23570	13475	26227	11893	20468	29779	20004	16055	18650	15505	15875	4914	15541	16392	8692	85429	20580	8357	11358	20272	36704
101	14810	28607	30627	20771	24722	18927	7280	21254	11482	8834	8645	23107	24208	15605	9861	11883	15201	9030	30771	17725	7046	15299	18517	27050	24213	36785	16448	60904	38533	6691	14594	25197	14530	7857	15015	27153	5504	10269	31439	27202	14038	11921	11575	16902	13445	16246	18612	13893	19880	12709	22632	6935	22870	31947	14721	11291	10681	19058	17691	19738	6423	5324	19570	19353	10761	17330	15932	31166	12557	9997	36813	7284	24048	14002	26210	12117	21251	30871	20052	19024	19891	15926	15935	5198	15740	17232	8950	90555	21539	8716	11837	20647	37747
102	14805	29124	34437	21423	25889	19616	7646	21348	11562	9069	8619	23572	26283	15664	10250	12342	15984	9124	30608	18701	7301	15680	18912	26528	24281	37846	16686	59900	39340	6745	14556	25026	14510	7777	15380	28022	5461	10663	32112	27993	14161	12311	11709	16826	13984	16855	18486	14368	20394	12968	22631	7100	23192	34123	14562	11659	10777	19151	17119	20309	6325	5200	19630	19626	10595	17773	16525	31813	12816	10544	37609	7276	24470	13719	26742	12554	21936	30678	20158	19189	20243	16179	16500	5374	16293	17455	9201	93720	21850	8918	12414	20822	39104
103	14152	29130	34367	21181	25893	19866	7281	20986	11841	9344	8778	22999	26110	15505	10605	12114	15993	8897	29842	17835	7332	15720	18984	25467	23991	38018	16939	59247	39249	6625	14139	24032	14207	7903	14675	27592	5513	10673	31086	27687	14392	11974	12070	16931	13687	16714	18569	14052	20168	13046	22318	6924	22399	33337	14459	11547	10893	18714	16248	19495	6216	5605	19185	19113	10923	18029	16276	31431	12445	10394	36721	7085	24536	13407	26133	12738	21711	30323	20289	18609	19444	16227	16587	5223	16696	17086	9194	91557	21567	8774	11995	21004	39095
104	13852	28284	33041	20590	25459	19155	7099	20444	11700	9201	8554	21818	24973	14455	10367	11587	15529	8397	28493	17085	7202	15256	18667	24104	23538	36770	16497	56942	38561	6093	12993	22182	12968	7507	14219	26431	5516	10514	29133	26560	14098	11867	11846	16539	13209	16579	18964	14075	19657	12421	21290	6802	20948	30194	14270	11148	10837	17920	15051	18859	6077	5131	17567	18214	11243	17372	15670	29874	12194	9437	35388	6910	23888	12789	24437	12204	20804	29005	19839	17780	18718	16129	16667	5080	16076	16448	8943	87576	21276	8684	12635	20728	39010
105	13244	28038	32191	20097	25595	18677	6574	20405	11581	9474	8392	21039	24693	14204	10615	11974	15095	8171	27101	17970	7019	15514	18827	23160	23078	35189	15897	58132	39478	5922	12838	20884	12851	7379	14378	26249	5669	10350	28823	26245	13585	11565	11586	16594	13127	16235	18431	13849	19138	12396	21147	6590	20546	30372	14337	11040	10350	16809	14280	18028	5777	5342	16978	17726	11087	17253	15264	29163	11847	10509	34866	6677	23799	12780	23705	12380	19987	28702	19156	17783	18078	16353	16876	5125	16014	16596	8862	86308	20616	8660	12479	21068	40111
106	14174	29850	33341	21230	27024	20048	6952	21211	12162	9830	9098	22006	26119	15094	11392	12636	16170	8530	27753	17101	7856	16113	19182	24383	23296	39697	16850	59882	42042	6293	13532	21520	13583	7676	14686	27220	5640	11044	29635	27262	13854	12001	12288	17128	13748	17088	19135	14464	20172	13054	21817	6805	21545	33289	15000	11800	10994	17603	14276	18271	5918	5267	17863	18191	11532	18121	16115	30550	12216	11514	37209	6988	25147	13900	24721	13485	20938	29779	19953	18745	18701	17263	17694	5470	16792	17348	9108	88977	21224	8970	13404	22487	42072
107	14874	31805	35368	22812	28846	20646	7525	22548	13014	10254	9826	26645	28675	16258	12339	13490	17496	9076	29697	19641	8455	17140	20450	25398	27775	42646	18242	64321	44494	6323	14282	23067	14257	8221	15672	28668	5771	11236	31343	28680	14988	12659	13108	18201	14525	18297	20135	15313	21499	13863	23567	7079	22918	35400	15960	12691	11630	18745	15222	19555	6090	5614	18639	19452	12062	19135	17029	32825	13322	12005	39637	7531	26411	16376	25544	13915	22381	31876	21053	19107	20179	18378	18276	5556	17745	18328	9629	91661	22347	9403	15244	23394	43917
108	15080	33317	36016	24169	30107	22525	8028	23853	13842	11159	10451	28267	29673	16814	12952	14753	18544	9963	31581	19113	9142	18137	21756	26656	29345	45073	19171	69040	46236	7158	15359	24924	15352	8783	16863	30834	5926	11958	33564	30857	15726	13334	13740	19304	15377	19364	21161	16371	22918	14685	25126	7418	24275	37293	17185	13502	12281	20646	16542	21568	6391	6109	20091	20547	12159	20616	18364	34577	13929	12753	42411	7947	27361	17138	26903	14841	23877	33581	22028	19640	20921	19374	19814	6140	18747	19328	10472	93435	25979	9853	16373	24470	45280
109	16521	35136	37852	26116	31323	24067	9273	25950	14921	11910	11238	29373	32046	17407	13605	16285	20569	10980	34951	20643	10064	18965	22709	29028	30222	49340	20800	67631	46929	7742	16742	28128	16813	9461	17867	33086	6277	12685	36950	33124	17519	14692	14906	20492	16506	20290	22479	17913	25245	15921	27051	7776	27129	39223	18651	14751	13075	23200	18522	24385	7110	6651	22214	23079	13443	22167	19555	37747	15289	13335	45517	8719	29307	18288	29670	16176	25676	36682	23785	20412	22748	21307	20484	6453	19844	20833	11478	91696	28727	10625	17305	26070	46377
